id,Reviews
1,很好，超值，还可以吧
2,很好，特别实惠，是正品
3,挺喜欢，便宜了好多，比较信得过
4,提好用，遮暇功能差一些，总体还不错
5,很常满意，遮暇功能差一些，总体过得去
6,很好，美白没有感觉，总体还不错
7,包装太丑了，连个包装盒都没有，第一感觉很不好
8,包装漏水，连个包装盒都没有，第一感觉不喜欢
9,包装忒简单，连个包装都没心情了，第一感觉不敢用
10,宝贝收到了，产品太失望了，简直就是个垃圾，我都扔了。
11,宝贝收到了，产品感觉不高，简直就是个好差，我都扔了。
12,活动价实惠，买一送一共60片才花八十五块，天天用都不心疼啊
13,使用一段时间才来评价，可以的味道，喜欢！
14,使用一段时间才来评价，喜欢的味道，点赞！
15,之前买过。用了特别满意。继续回购
16,很清爽保湿相对好推开。总体还可以。
17,很润相对没有过敏不适。总体棒棒的。
18,挺好吸收相对容易吸收。总体最喜欢。
19,收到了，当天晚上就用了超喜欢的哦，
20,做活动时买的，比较划算，也太棒了
21,做活动时买的，便宜，也非常舒适
22,好用一点也不紧绷很清爽
23,很好用不油不腻很清爽
24,很温和唯美很细腻
25,气垫蛮好的，还送了一个替换装，很值
26,气垫太好了，还送了一个替换装，特别特别划算
27,一直在**买东西，质量值得信赖天猫直送还很给力，以后还会继续关注的。
28,挺适合，以前用别的品牌这个品牌以前用的日霜不错这个也应该不错。
29,很适合，以前用别的品牌这个品牌以前用的日霜不错这个也应该实用。
30,上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：真的好用 适合肤质：油性肤质
31,上妆效果：干净 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：五星好评 适合肤质：油性肤质
32,上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：还不错 适合肤质：油性肤质
33,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然还好吧！
34,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，服帖微微一点白！
35,发货速度快，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也还可以，比较干净真实！
36,快递小哥点赞，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也良好，很强自然！
37,赞赞，还可以，价格不算贵！用起来一般般啦
38,一般般，还可以，价格很便宜！用起来一般般啦
39,一般般，非常的好用，赠品很好用！用起来一般般啦
40,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有物流，今天下了雪如期送达，感谢！
41,一直在用，感觉还是超级好用，这次还有优惠券，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！
42,一直在用，感觉还是都说好，这次还有活动，谢谢啦！还有物流，今天下了雪如期送达，感谢！
43,一直买在**买一个牌子的面膜，真的亮白，用完还来
44,宝贝收到满分
45,可以哦  物流很快 用了再追评使用感受
46,值得推荐  物流非常的快 用了再追评使用感受
47,满满一箱，上百片面膜可以用很久了，发货收到的比下单的多！非常的不错?
48,用着还可以主要按压比较方便不用倒出来那种
49,用着不错主要按压很干净不用倒出来那种
50,快递非常给力，商品好。支持**。
51,配送很快，商品支持。支持**。
52,很满意，味道也很好闻，大爱！
53,没让人失望，味道也非常喜欢，大爱！
54,可以的，味道也不浓重，真的好用！
55,和实体店买的一样，还送有一个面膜，用了优惠券，超赞了
56,和实体店买的一样，还送有一个面膜，用了优惠券，巨好用了
57,收到货了物流特别快卸妆很好
58,收到货了物流很快的渗透性很强
59,好开心，一直都买这个牌子的，无限回购，物美价廉，持续囤货中。
60,应该不错的，一直都买这个牌子的，无限回购，非常实惠，持续囤货中。
61,感觉还好吧，第一次用隔离，一开始操作失误出现点小问题，味道清香，送了卸妆水和面膜都挺好用的
62,感觉很好的，第一次用隔离，一开始操作失误出现点小问题，味道很好，送了卸妆水和面膜都挺好用的
63,感觉强力推荐，第一次用隔离，一开始操作失误出现点小问题，问道可以，送了卸妆水和面膜都还喜欢
64,已经用了7张，感觉水水嫩嫩的，不过在使用时，每包的乳液有不同，有的多，有的少，总之，效果OK
65,已经用了7张，感觉水灵灵，不过在使用时，每包的乳液有不同，有的多，有的少，总之，效果OK
66,物流好快昨天下的单今天就到了，第一次用感觉挺好的！
67,快递点赞昨天下的单今天就到了，第一次用感觉一直信赖的！
68,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华液也挺多多的，可以用好久了
69,快递给力，活动期间买的，好便宜，面膜纸贴合很好，精华也蛮多，可以用好久了
70,发货很快，价位期间买的，非常合适，面膜纸贴合挺自然，精华液也多，可以用好久了
71,物流真是快，价格期间买的，真的优惠，面膜纸吸收挺快，精华液也很好，可以用好久了
72,超级喜欢还不错
73,产品挺喜欢用的，值得购买，质量过硬
74,不错媳妇用着很不错
75,已经是第三瓶了，用了很自然，也不油腻，很轻薄透亮，下次还继续
76,已经是第三瓶了，用了很自然，也挺湿润，不会太多，下次还继续
77,已经是第三瓶了，用了真实，也很薄，粘稠些，下次还继续
78,好开心，挺好的，挺满意的，服务也非常好，很喜欢在**买东西。
79,挺喜欢用的，看起来不错，挺满意的，服务也非常好，很喜欢在**买东西。
80,好用，很合适，太好了，服务也非常好，很喜欢在**买东西。
81,不错，挺漂亮的，还挺好用的，卖家也很好，很喜欢在**买东西。
82,清透，补水效果也不错，价格实惠，以后还会光顾
83,用着舒服，清洁皮肤效果也很好，价格对的起，以后还会光顾
84,水份多多，遮瑕效果也挺好，价格还可以，以后还会光顾
85,nice，性价比很高
86,太合适，价格不算贵
87,很温和的一款洗面奶，不紧崩，太合适
88,多的一款洗面奶，不紧崩，很好
89,通透的一款洗面奶，不厚重，很给力
90,不错，应该还可以，物超所值，**值得信赖！
91,挺好用，很好，很满足，**值得信赖！
92,一如既往的喜欢，太合适了，还不错啦，**值得信赖！
93,当天下单当天下午就收到货了，物流很快，看着很漂亮，质量吗要用了才晓得，到时追评
94,当天下单当天下午就收到货了，送货速度超快，看着特别好，质量吗要用了才晓得，到时追评
95,好评  **买东西速度非常速度  有保证好评  **买东西速度快  有保证
96,好  **买东西送货挺快  有保证好评  **买东西速度快  有保证
97,有点少一瓶，不过看起来还不错，使用以后再来追加
98,小小一瓶，不过看起来还给力，使用以后再来追加
99,不错哦。物流出奇的快，~。以后就买****的了。
100,好哦。快递神速，~。以后就买****的了。
101,很好的隔离霜，之前买过的用了，感觉比较合适，就给同事也回购了一瓶。同事也很喜欢。
